Zip Code,Latitude,Longitude,City,State,County
99337 99336 99338,46.1979,-119.1732,Kennewick,Washington,Benton
98223 98271,48.111,-122.1459,North Marysville,Washington,Snohomish
98365,47.9259,-122.7302,Beaver Valley,Washington,Jefferson
98903 98908 98909,46.5581,-120.6058,Ahtanum,Washington,Yakima
98396 98323,47.0805,-122.0537,Carbonado,Washington,Pierce
98068,47.3929,-121.3929,Hyak,Washington,Kittitas
98223,48.2119,-122.0631,Arlington Heights,Washington,Snohomish
98294,47.8828,-121.8251,North Sultan,Washington,Snohomish
99164 99163,46.7327,-117.1634,Pullman,Washington,Whitman
98632,46.1471,-122.9642,Longview,Washington,Cowlitz
98023,47.3309,-122.3604,Adelaide,Washington,King
98295 98244 98266,48.9477,-122.1406,Peaceful Valley,Washington,Whatcom
99320 99353,46.3115,-119.3996,West Richland,Washington,Benton
98422 98424,47.2586,-122.3454,Fife Heights,Washington,Pierce
98831,47.8858,-120.1563,Manson,Washington,Chelan
99032,47.3003,-117.9757,Sprague,Washington,Lincoln
98520 98563 98537,46.9541,-123.7727,Cosmopolis,Washington,Grays Harbor
98198,47.3484,-122.3235,Redondo,Washington,King
98404 98371 98443,47.2035,-122.37,Waller,Washington,Pierce
99101,48.3588,-117.8372,Addy,Washington,Stevens
98541,47.2379,-123.4079,Matlock,Washington,Mason
98349 98351,47.2257,-122.7739,Longbranch,Washington,Pierce
98648 98639,45.6426,-121.9695,North Bonneville,Washington,Skamania
99347,46.4739,-117.5971,Pomeroy,Washington,Garfield
99114,48.545,-117.8975,Colville,Washington,Stevens
98051,47.3143,-121.8923,Palmer,Washington,King
98178,47.4915,-122.2543,Skyway,Washington,King
98039,47.6257,-122.2338,Medina,Washington,King
98001 98047,47.2819,-122.2504,Algona,Washington,King
99026,47.7757,-117.5461,Nine Mile Falls,Washington,Spokane
98010,47.313,-122.0181,Black Diamond,Washington,King
98251,47.8562,-121.6919,Gold Bar,Washington,Snohomish
99326 99343,46.5736,-119.0013,Mesa,Washington,Franklin
98205,47.9782,-122.1349,Cavalero Corner,Washington,Snohomish
98555,47.4634,-123.1143,Lilliwaup,Washington,Mason
98257,48.3925,-122.4945,La Conner,Washington,Skagit
98155,47.7448,-122.2882,Sheridan Beach,Washington,King
99147,47.829,-118.415,Lincoln,Washington,Lincoln
98520,46.9155,-123.9814,Markham,Washington,Grays Harbor
99330,46.4587,-119.0172,Eltopia,Washington,Franklin
98648,45.6944,-121.8933,Stevenson,Washington,Skamania
98022,47.1467,-121.6327,Greenwater,Washington,Pierce
98535 98536,47.1205,-124.1722,Copalis Beach,Washington,Grays Harbor
98290,47.8923,-122.0123,Roosevelt,Washington,Snohomish
99143,46.8027,-117.9014,La Crosse,Washington,Whitman
98373 98371 98446,47.1694,-122.3629,Summit,Washington,Pierce
98360,46.9457,-122.1907,Ohop,Washington,Pierce
99149,47.2296,-117.4732,Malden,Washington,Whitman
99321,46.8368,-119.9331,Beverly,Washington,Grant
99350,46.2065,-119.7659,Prosser,Washington,Benton
98290,47.9839,-121.9129,Lake Roesiger,Washington,Snohomish
98607,45.637,-122.3963,Fern Prairie,Washington,Clark
98038,47.3664,-122.037,Maple Valley,Washington,King
99131,48.3063,-118.1464,Gifford,Washington,Stevens
98001 98002 98092,47.3039,-122.2108,Auburn,Washington,King
98070,47.389,-122.4607,Burton,Washington,King
98233,48.4676,-122.3298,Burlington,Washington,Skagit
98626,46.0715,-122.8623,Carrolls,Washington,Cowlitz
98022,47.2951,-121.9096,Bayne,Washington,King
98612,46.1968,-123.358,East Cathlamet,Washington,Wahkiakum
98332,47.3938,-122.6114,Purdy,Washington,Pierce
98360 98338 98344,46.9727,-122.2272,Kapowsin,Washington,Pierce
98388,47.1569,-122.6343,Ketron,Washington,Pierce
99326,46.6627,-118.8403,Connell,Washington,Franklin
98335,47.3104,-122.5715,Shore Acres,Washington,Pierce
98235 98284 98273,48.4561,-122.2378,Clear Lake,Washington,Skagit
98934 98926,46.9844,-120.4198,Kittitas,Washington,Kittitas
98530,46.7969,-122.8679,Bucoda,Washington,Thurston
98811,47.7373,-120.369,Ardenvoir,Washington,Chelan
98070,47.4204,-122.4354,Ellisport,Washington,King
98110 98061,47.6439,-122.5434,Bainbridge Island,Washington,Kitsap
